image,true_label,pred_label,num_digits,exact_match,edit_distance,cer,latency,parse_error
sample_0385.png,0,0,1,True,0,0.0,1.7771697044372559,False
sample_0432.png,80,30,2,False,1,0.5,0.7972021102905273,False
sample_0556.png,0,0,1,True,0,0.0,0.7608275413513184,False
sample_0582.png,7,7,1,True,0,0.0,1.0715131759643555,False
sample_1096.png,0,0,1,True,0,0.0,0.8207285404205322,False
sample_1291.png,24,24,2,True,0,0.0,0.9124155044555664,False
sample_1312.png,4,4,1,True,0,0.0,0.7960433959960938,False
sample_1803.png,0,0,1,True,0,0.0,0.9369180202484131,False
sample_1831.png,0,0,1,True,0,0.0,0.9597816467285156,False
sample_1949.png,146,146,3,True,0,0.0,0.7761843204498291,False
sample_2202.png,13,-13,2,False,1,0.5,1.039025068283081,False
sample_2421.png,0,6,1,False,1,1.0,1.4153003692626953,False
sample_2584.png,0,0,1,True,0,0.0,0.9503741264343262,False
sample_2676.png,110,110,3,True,0,0.0,0.9147195816040039,False
sample_2766.png,246,246,3,True,0,0.0,1.1239945888519287,False
sample_2907.png,108,108,3,True,0,0.0,0.9113268852233887,False
sample_3351.png,0,0,1,True,0,0.0,0.8236970901489258,False
sample_3972.png,2,2,1,True,0,0.0,0.7790694236755371,False
sample_4014.png,0,0,1,True,0,0.0,0.8000214099884033,False
sample_4090.png,31,21,2,False,1,0.5,0.7634983062744141,False
sample_4288.png,48,56,2,False,2,1.0,0.7728004455566406,False
sample_4368.png,9,669,1,False,2,2.0,0.7844130992889404,False
sample_4570.png,20,20,2,True,0,0.0,0.8640656471252441,False
sample_4677.png,62,62,2,True,0,0.0,1.7913339138031006,False
sample_4804.png,257,257,3,True,0,0.0,1.0074572563171387,False
sample_4854.png,3,3,1,True,0,0.0,0.7863504886627197,False
sample_5148.png,14,19,2,False,1,0.5,2.932687282562256,False
sample_5238.png,11,11,2,True,0,0.0,1.0830185413360596,False
sample_5577.png,2,2,1,True,0,0.0,0.7793567180633545,False
sample_5771.png,7,7,1,True,0,0.0,0.9835100173950195,False
sample_5940.png,7,4,1,False,1,1.0,0.8305037021636963,False
sample_6091.png,44,44,2,True,0,0.0,0.7955412864685059,False
sample_6217.png,2,2,1,True,0,0.0,1.0456602573394775,False
sample_6551.png,38,38,2,True,0,0.0,0.8911411762237549,False
sample_6590.png,130,430,3,False,1,0.3333333333333333,0.9432532787322998,False
sample_6636.png,117,917,3,False,1,0.3333333333333333,0.9656095504760742,False
sample_6739.png,242,242,3,True,0,0.0,1.1955103874206543,False
sample_6761.png,14,14,2,True,0,0.0,0.9729955196380615,False
sample_7062.png,3,23,1,False,1,1.0,1.5778923034667969,False
sample_7106.png,5,5,1,True,0,0.0,1.1628153324127197,False
sample_7381.png,15,15,2,True,0,0.0,1.4894952774047852,False
sample_7474.png,3,3,1,True,0,0.0,0.8644707202911377,False
sample_8239.png,8,3,1,False,1,1.0,0.8054683208465576,False
sample_8646.png,0,0,1,True,0,0.0,1.3852143287658691,False
sample_8916.png,3,3,1,True,0,0.0,1.008683443069458,False
sample_8947.png,9,9,1,True,0,0.0,0.7901220321655273,False
sample_9052.png,115,115,3,True,0,0.0,0.9337186813354492,False
sample_9057.png,12,12,2,True,0,0.0,0.9212641716003418,False
sample_9315.png,153,153,3,True,0,0.0,0.8881769180297852,False
sample_9849.png,19,19,2,True,0,0.0,1.3024773597717285,False
